DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2017,92.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2018,93.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2019,93.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2020,93.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2021,94.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2022,95.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2023,96.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2024,97.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2013,107.4,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2014,108.0,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2015,108.1,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2016,108.5,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2017,108.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2018,108.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2019,109.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2020,108.9,be,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2021,109.0,ep,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2022,108.9,bep,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2023,109.3,bep,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,European Union - 27 countries (from 2020),2024,109.7,ep,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2013,17.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2014,18.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2015,18.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2016,18.1,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2017,18.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2018,18.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2019,18.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2020,18.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2021,18.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2022,18.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2023,18.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Finland,2024,18.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2013,103.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2014,104.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2015,105.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2016,105.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2017,105.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2018,105.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2019,106.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2020,106.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2021,106.6,p,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2022,107.6,p,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2023,107.9,p,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,France,2024,108.5,p,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2013,75.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2014,74.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2015,74.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2016,74.6,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2017,73.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2018,73.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2019,72.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2020,72.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2021,72.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2022,69.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2023,69.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Croatia,2024,69.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2013,106.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2014,108.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2015,107.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2016,107.6,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2017,107.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2018,107.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2019,107.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2020,107.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2021,106.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2022,105.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2023,105.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Hungary,2024,104.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2013,67.6,,
